"","n100","n101","n102","n103","n104","n105","n106","n107","n108","n110","n73","n76","n77","n78","n82","n89","n90","n91","n92","n94","n95","n96","n97","n98","n99","zu123","zu134","zu194","zu196","zu203","zu207","zu222","zu230","zu232","zu233","zu236","zu238","zu240","zu243","zu246","zu248","zu249","zu251","zu252","zu255","zu259","zu264","zu272","zu283","zu287","zu291","zu292","zu294","zu296","zu297","zu299","zu300","zu325","zu327","zu330","zu331","zu332","zu333","zu334","zu336","zu337","zu340","zu345","zu346","zu60","zu64","zu72","zu82","zu85","zu95"
"Q08380_1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"P05362_1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Q08380_2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Q08380_3","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Q9NT68","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"P40189_1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2"
"Q9BY67_1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Q08380_4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"P27169","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"O75882","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Q6EMK4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"P05362_2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Q12913","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"P02790","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"P55058","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"P07996","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"P10646","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"P16070","2","2","2","2","2","1","0","2","2","2","2","2","0","1","0","0","0","2","2","2","2","1","1","1","2","0","0","0","0","2","0","2","1","2","2","2","0","0","0","0","0","2","0","0","0","0","2","2","0","0","0","0","0","2","2","2","2","2","1","2","2","2","2","2","2","2","0","2","1","2","2","2","0","2","0"
"P98160","0","2","0","2","2","2","2","2","2","0","2","1","0","2","0","0","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","0","1","2","2","0","0","2","2","2","0","2","2","2","2","2","2","2","2","2","2","1","2","2","0","2","0","1","2","2","0","2","2","2","0","2","2","2","2","0","2","0","0","2"
"Q9H6X2","2","2","2","2","2","2","2","2","1","2","2","2","0","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","1","2","2","2","2","1","0","2","0","2","2","2","1","2","0","1","2","2","1","2","0","2","2","2","1","2","0","2","2","0","2","2","0","0","2","2","2","2","2","0"
"Q10589","0","2","2","0","0","2","2","0","0","2","0","0","0","2","2","0","0","0","0","0","2","0","2","2","2","2","2","0","2","2","2","0","0","0","2","2","2","0","0","2","2","2","2","2","0","0","2","0","2","0","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","2","0","0","0"
"P04156","2","2","0","0","2","2","2","2","0","0","2","1","0","2","2","2","0","2","0","1","0","2","1","1","2","2","2","2","0","2","1","2","1","0","2","1","0","0","2","2","2","2","0","0","0","0","1","0","0","0","2","2","0","2","2","2","2","2","2","2","0","0","2","2","2","0","2","2","2","2","2","2","0","1","0"
"Q14126","2","2","2","2","2","1","2","2","0","2","2","2","1","2","1","2","0","0","2","2","2","2","0","0","1","2","2","0","0","2","2","0","2","2","2","1","0","2","2","2","2","2","2","2","0","2","2","2","0","2","0","2","2","1","2","2","0","2","0","0","0","0","2","2","2","0","2","2","2","2","0","0","2","2","2"
"Q13421","2","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","2","2","0","0","1","0","0","2","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","2","0","1","0","0","2","1","2","0","1","0","1","0","2","2","0","1","0","2","1","0","2","1","2","2","2","2","0","1","0","0","0","0","1","0"
"O75144_1","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"P40189_2","2","0","2","2","2","0","0","2","2","0","2","2","1","2","0","2","0","2","2","2","2","2","0","2","2","0","0","0","2","2","0","2","0","0","2","2","2","1","0","2","2","2","2","1","2","2","2","0","2","2","0","2","1","0","2","2","0","2","0","2","0","0","2","2","2","2","2","2","2","0","0","2","2","0","0"
"P08195","2","2","2","2","2","1","2","2","1","2","2","2","2","1","0","2","2","2","2","2","2","2","2","2","2","0","2","2","2","1","2","0","2","2","2","2","0","2","2","0","1","1","2","2","0","2","2","0","0","2","2","2","2","0","2","0","2","2","2","2","2","0","2","0","1","2","2","2","0","0","0","0","2","0","0"
"O75144_2","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Q9Y4L1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"Q9BY67_2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","0","2","2","0","2","2","2","1","2","2","2","2","2","2","2","2","2"
"O43157","1","1","0","0","0","2","0","0","1","0","0","0","1","2","2","0","0","2","2","2","0","2","2","2","2","2","0","0","0","0","0","0","0","0","2","1","0","0","2","2","2","1","0","1","1","2","0","1","0","0","2","2","1","2","2","0","2","2","0","2","2","0","0","2","2","2","2","1","0","1","2","1","2","0","0"
"kininogen-1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
